company_name,ticker,rating_date,rating_numerical_score,currentRatio,quickRatio,cashRatio,debtRatio,debtEquityRatio,GDP,INTEREST_RATE,INFLATION,volatility,momentum,sentiment_proxy
RLJ LODGING TRUST,RLJ,2022-10-20,9,3.841048164232136,3.436794315041453,3.2833645874457167,0.491839348250992,1.0562375710701226,22249.459,3.08,297.979,0.0220713850103966,-0.0293871563771211,0
RLJ LODGING TRUST,RLJ,2022-12-30,10,3.841048164232136,3.436794315041453,3.2833645874457167,0.491839348250992,1.0562375710701226,22249.459,4.33,298.808,0.0218263218957325,0.0331706341057598,1
ROCKWELL AUTOMATION,ROK,2021-11-24,15,1.0237952008555578,0.697379854287815,0.2213087360470556,0.4097144352246393,1.83486776029461,21960.388,0.08,278.824,0.0143271554037059,0.0823226534470003,0
ROCKWELL AUTOMATION,ROK,2022-02-09,15,1.0237952008555578,0.697379854287815,0.2213087360470556,0.4097144352246393,1.83486776029461,21903.85,0.08,284.525,0.0149285328141258,-0.1281730217464431,0
ROCKWELL AUTOMATION,ROK,2022-05-16,15,1.0237952008555578,0.697379854287815,0.2213087360470556,0.4097144352246393,1.83486776029461,21919.222,0.83,291.299,0.0274108204467695,-0.2526322741383836,0
ROCKWELL AUTOMATION,ROK,2022-08-23,15,1.0237952008555578,0.697379854287815,0.2213087360470556,0.4097144352246393,1.83486776029461,22066.784,2.33,295.162,0.022193531654024,0.2297073576889408,0
ROCKWELL AUTOMATION,ROK,2022-11-11,15,1.010777672022843,0.623537315939757,0.1373663288729634,0.3888016210136912,1.5347079542119166,22249.459,3.83,298.708,0.0250183435297933,0.0617783911332525,0
ROCKWELL AUTOMATION,ROK,2023-02-17,15,1.010777672022843,0.623537315939757,0.1373663288729634,0.3888016210136912,1.5347079542119166,22403.435,4.58,301.476,0.016378677648711,0.1340038294641188,0
ROCKWELL AUTOMATION,ROK,2023-06-15,15,1.010777672022843,0.623537315939757,0.1373663288729634,0.3888016210136912,1.5347079542119166,22539.418,5.07,304.099,0.0170967169030438,0.1763759929853794,0
ROGERS,RCI,2022-01-14,18,0.6762965541246084,0.5426383571179951,0.0829562594268476,0.5444081691013511,2.169103684010634,21903.85,0.08,282.542,0.013299101019747,0.0212181949860104,0
ROGERS,RCI,2022-04-12,18,0.6762965541246084,0.5426383571179951,0.0829562594268476,0.5444081691013511,2.169103684010634,21919.222,0.33,288.582,0.0102761832080725,0.1958966576481668,0
ROGERS,RCI,2022-07-08,18,0.6762965541246084,0.5426383571179951,0.0829562594268476,0.5444081691013511,2.169103684010634,22066.784,1.58,294.94,0.0167350974699194,-0.1830501768764997,0
ROGERS,RCI,2022-09-29,18,0.6762965541246084,0.5426383571179951,0.0829562594268476,0.5444081691013511,2.169103684010634,22066.784,3.08,296.421,0.0148138517900111,-0.1955840300734779,0
ROGERS,RCI,2022-12-06,18,0.6762965541246084,0.5426383571179951,0.0829562594268476,0.5444081691013511,2.169103684010634,22249.459,3.83,298.808,0.0168771372003532,0.1001702222045861,0
ROGERS,RCI,2023-05-11,18,2.0193737564142844,0.4997381924808881,0.0484867525395329,0.6602461593747192,3.6411018628616727,22539.418,5.08,303.316,0.0122570387061707,0.0189968398354871,0
ROKU,ROKU,2022-04-04,12,4.186441142568929,3.972533610007415,2.941320058825222,0.1278024176015305,0.1885732916071171,21919.222,0.33,288.582,0.059725420922615,-0.3959969697440737,0
ROKU,ROKU,2022-06-21,12,4.186441142568929,3.972533610007415,2.941320058825222,0.1278024176015305,0.1885732916071171,21919.222,1.58,295.072,0.0656685931255701,-0.2892930873325264,0
ROKU,ROKU,2022-09-22,11,4.186441142568929,3.972533610007415,2.941320058825222,0.1278024176015305,0.1885732916071171,22066.784,3.08,296.421,0.0555177529518211,-0.3835172475535071,-1
ROKU,ROKU,2022-11-25,9,4.186441142568929,3.972533610007415,2.941320058825222,0.1278024176015305,0.1885732916071171,22249.459,3.83,298.708,0.0458525165145644,-0.1631099829388936,-1
ROKU,ROKU,2023-05-15,8,2.73696381244617,2.513446748880476,1.8111371741010809,0.1630160986683364,0.2717966292797129,22539.418,5.08,303.316,0.0409464249382339,-0.0462570437873909,-1
ROLLINS,ROL,2022-02-02,17,0.717441495881196,0.5518179337978101,0.2143915856682723,0.1992342471581072,0.3624494585665986,21903.85,0.08,284.525,0.0176582790577996,-0.1287077090904252,0
ROLLINS,ROL,2022-05-11,17,0.717441495881196,0.5518179337978101,0.2143915856682723,0.1992342471581072,0.3624494585665986,21919.222,0.83,291.299,0.0167281243747505,0.0765550754588304,0
ROLLINS,ROL,2022-08-18,17,0.717441495881196,0.5518179337978101,0.2143915856682723,0.1992342471581072,0.3624494585665986,22066.784,2.33,295.162,0.0192273205727848,0.0569356604609678,0
ROLLINS,ROL,2022-10-31,17,0.717441495881196,0.5518179337978101,0.2143915856682723,0.1992342471581072,0.3624494585665986,22249.459,3.08,297.979,0.0212003124759936,0.0950344522693669,0
ROLLINS,ROL,2023-03-22,17,0.7060151807267955,0.5766144711047746,0.1930925262867974,0.1584941386258805,0.2654117710190286,22403.435,4.58,301.643,0.0106506562972817,-0.012345996003064,0
ROLLINS,ROL,2023-06-26,17,0.7060151807267955,0.5766144711047746,0.1930925262867974,0.1584941386258805,0.2654117710190286,22539.418,5.07,304.099,0.0122501664403712,0.1343392836614168,0
ROPER TECHNOLOGIES,ROP,2022-02-16,14,0.7755461592670895,0.3644692164776731,0.1125952975847267,0.3358072691543778,0.6886404123212093,21903.85,0.08,284.525,0.0154493746022148,-0.0843998593118844,0
ROPER TECHNOLOGIES,ROP,2022-05-17,14,0.7755461592670895,0.3644692164776731,0.1125952975847267,0.3358072691543778,0.6886404123212093,21919.222,0.83,291.299,0.0156579452813142,-0.0262398670174993,0
ROPER TECHNOLOGIES,ROP,2022-08-23,14,0.7755461592670895,0.3644692164776731,0.1125952975847267,0.3358072691543778,0.6886404123212093,22066.784,2.33,295.162,0.0170196649911918,-0.019661399231849,0
ROPER TECHNOLOGIES,ROP,2022-11-01,14,0.7755461592670895,0.3644692164776731,0.1125952975847267,0.3358072691543778,0.6886404123212093,22249.459,3.08,298.708,0.0157580967063198,-0.0358851804303909,0
ROPER TECHNOLOGIES,ROP,2023-02-16,14,0.6680726015557477,0.5772860847018151,0.2740881590319792,0.2486249481112495,0.4182680916335158,22403.435,4.58,301.476,0.0127489785339256,-0.0216538612011043,0
ROPER TECHNOLOGIES,ROP,2023-06-16,14,0.6680726015557477,0.5772860847018151,0.2740881590319792,0.2486249481112495,0.4182680916335158,22539.418,5.08,304.099,0.0099844235071439,0.0632102329713155,0
ROSS STORES,ROST,2022-04-12,13,1.7730253581970183,1.1961321293905545,1.167840549627289,0.4121725428027157,1.384746246967402,21919.222,0.33,288.582,0.0236621262128212,-0.0273875292642404,0
ROSS STORES,ROST,2022-07-11,14,1.7730253581970183,1.1961321293905545,1.167840549627289,0.4121725428027157,1.384746246967402,22066.784,1.58,294.94,0.0404885439526753,-0.2672413271867396,1
ROSS STORES,ROST,2022-09-29,14,1.7730253581970183,1.1961321293905545,1.167840549627289,0.4121725428027157,1.384746246967402,22066.784,3.08,296.421,0.0228574908675921,0.1813581003091264,0
ROSS STORES,ROST,2022-12-06,14,1.7730253581970183,1.1961321293905545,1.167840549627289,0.4121725428027157,1.384746246967402,22249.459,3.83,298.808,0.0253831631439231,0.268009006476958,0
ROSS STORES,ROST,2023-05-11,14,1.8988591530936023,1.2918735421090872,1.2518063959369086,0.4253316988240492,1.3306136315888022,22539.418,5.08,303.316,0.0124754891004546,-0.1069561899480001,0
ROYAL CARIBBEAN CRUISES,RCL,2022-01-04,7,0.4941569651053992,0.4268422054596665,0.3708327688701252,0.6725075720693136,4.265804564928594,21903.85,0.08,282.542,0.0342611056773088,-0.0853780027542865,0
ROYAL CARIBBEAN CRUISES,RCL,2022-02-25,6,0.4941569651053992,0.4268422054596665,0.3708327688701252,0.6725075720693136,4.265804564928594,21903.85,0.08,284.525,0.033985472976522,0.1984548464398527,-1
ROYAL CARIBBEAN CRUISES,RCL,2022-05-23,6,0.4941569651053992,0.4268422054596665,0.3708327688701252,0.6725075720693136,4.265804564928594,21919.222,0.83,291.299,0.0355535924878012,-0.3331727650718382,0
ROYAL CARIBBEAN CRUISES,RCL,2022-08-08,6,0.4941569651053992,0.4268422054596665,0.3708327688701252,0.6725075720693136,4.265804564928594,22066.784,2.33,295.162,0.0544037243892307,-0.3396257149177057,0
ROYAL CARIBBEAN CRUISES,RCL,2022-08-15,6,0.4941569651053992,0.4268422054596665,0.3708327688701252,0.6725075720693136,4.265804564928594,22066.784,2.33,295.162,0.0552105934330277,-0.3368273342753456,0
ROYAL CARIBBEAN CRUISES,RCL,2022-09-01,6,0.4941569651053992,0.4268422054596665,0.3708327688701252,0.6725075720693136,4.265804564928594,22066.784,2.33,296.421,0.0531573678847459,-0.2735665567098962,0
